GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GENEID_list	GENENAME_list
GO:0002764	0.0342367697509216	3.3136538651397	2.67777147717607	6	13	immune response-regulating signaling pathway	ENSXMAG00000010749,ENSXMAG00000017731,ENSXMAG00000001788,ENSXMAG00000010772,ENSXMAG00000020263,ENSXMAG00000013367	gpatch3,unc93b1,TLR5,tlr21,C5AR1,tlr18
GO:0003013	0.00571421266345456	2.08484600569276	12.9768925432379	22	63	circulatory system process	ENSXMAG00000000221,ENSXMAG00000003376,ENSXMAG00000005676,ENSXMAG00000009592,ENSXMAG00000009982,ENSXMAG00000010710,ENSXMAG00000010944,ENSXMAG00000011072,ENSXMAG00000014423,ENSXMAG00000014934,ENSXMAG00000015733,ENSXMAG00000001540,ENSXMAG00000002400,ENSXMAG00000007485,ENSXMAG00000009000,ENSXMAG00000009518,ENSXMAG00000009979,ENSXMAG00000016712,ENSXMAG00000017689,ENSXMAG00000001476,ENSXMAG00000016163,ENSXMAG00000008586	emp2,tpm4a,htr2b,ednraa,pkd2,bin1b,cryaba,acvrl1,acta2,popdc2,slc8a1a,ITGA4,plvapb,vcp,adra1bb,gper1,BDKRB2,dsc2l,chrm2a,src,uts2a,rad21a
GO:0003018	0.00517559759514619	3.87257617728532	3.70768358378225	9	18	vascular process in circulatory system	ENSXMAG00000005676,ENSXMAG00000009592,ENSXMAG00000011072,ENSXMAG00000001540,ENSXMAG00000002400,ENSXMAG00000009000,ENSXMAG00000009979,ENSXMAG00000001476,ENSXMAG00000016163	htr2b,ednraa,acvrl1,ITGA4,plvapb,adra1bb,BDKRB2,src,uts2a
GO:0003170	0.00835787159435284	3.87058823529412	3.29571874113978	8	16	heart valve development	ENSXMAG00000009982,ENSXMAG00000007536,ENSXMAG00000007968,ENSXMAG00000009602,ENSXMAG00000012135,ENSXMAG00000011009,ENSXMAG00000019787,ENSXMAG00000008586	pkd2,yap1,tmsb4x,ugdh,npnta,itgb1a,twist1b,rad21a
GO:0003171	0.00461448537222482	5.4179806362379	2.47178905585483	7	12	atrioventricular valve development	ENSXMAG00000009982,ENSXMAG00000007968,ENSXMAG00000009602,ENSXMAG00000012135,ENSXMAG00000011009,ENSXMAG00000019787,ENSXMAG00000008586	pkd2,tmsb4x,ugdh,npnta,itgb1a,twist1b,rad21a
GO:0003173	0.0087252524284668	Inf	0.617947263963709	3	3	ventriculo bulbo valve development	ENSXMAG00000009982,ENSXMAG00000007536,ENSXMAG00000008586	pkd2,yap1,rad21a
GO:0003179	0.0368010017065195	3.8646408839779	2.05982421321236	5	10	heart valve morphogenesis	ENSXMAG00000007968,ENSXMAG00000009602,ENSXMAG00000011009,ENSXMAG00000019787,ENSXMAG00000008586	tmsb4x,ugdh,itgb1a,twist1b,rad21a
GO:0003181	0.0220888546967625	4.83166436464088	1.85384179189113	5	9	atrioventricular valve morphogenesis	ENSXMAG00000007968,ENSXMAG00000009602,ENSXMAG00000011009,ENSXMAG00000019787,ENSXMAG00000008586	tmsb4x,ugdh,itgb1a,twist1b,rad21a
GO:0003319	0.0424055686599227	Inf	0.411964842642472	2	2	cardioblast migration to the midline involved in heart rudiment formation	ENSXMAG00000001821,ENSXMAG00000019951	fn1a,s1pr2
GO:0003323	0.018821205148535	7.72808833678399	1.23589452792742	4	6	type B pancreatic cell development	ENSXMAG00000014181,ENSXMAG00000004439,ENSXMAG00000002246,ENSXMAG00000013819	dhps,WFS1,lepr,gcga
GO:0003348	0.029518106854155	11.5862068965517	0.823929685284945	3	4	cardiac endothelial cell differentiation	ENSXMAG00000001821,ENSXMAG00000011005,ENSXMAG00000001540	fn1a,smo,ITGA4
GO:0003376	0.000368786110814323	Inf	1.02991210660618	5	5	sphingosine-1-phosphate receptor signaling pathway	ENSXMAG00000019997,ENSXMAG00000019945,ENSXMAG00000019951,ENSXMAG00000019815,ENSXMAG00000019798	s1pr5a,s1pr3a,s1pr2,s1pr5b,s1pr1
GO:0006260	0.0122473043290832	1.94099162011173	12.9768925432379	21	63	DNA replication	ENSXMAG00000000075,ENSXMAG00000000592,ENSXMAG00000006121,ENSXMAG00000007764,ENSXMAG00000008538,ENSXMAG00000008754,ENSXMAG00000009396,ENSXMAG00000010847,ENSXMAG00000012597,ENSXMAG00000015142,ENSXMAG00000007238,ENSXMAG00000008619,ENSXMAG00000010333,ENSXMAG00000004102,ENSXMAG00000007863,ENSXMAG00000009764,ENSXMAG00000014750,ENSXMAG00000016362,ENSXMAG00000000302,ENSXMAG00000002561,ENSXMAG00000014169	poll,rad51,POLG2,mcm3,NFIB,nfixb,prim2,dscc1,POLQ,lig4,NFIX,mcm10,RPA1,rpa1,orc3,pola2,cdc45,wrnip1,mcm2,rfc5,cdc6
GO:0006261	0.0273389405854406	2.81346335325574	3.91366600510349	8	19	DNA-dependent DNA replication	ENSXMAG00000000592,ENSXMAG00000007764,ENSXMAG00000009396,ENSXMAG00000012597,ENSXMAG00000008619,ENSXMAG00000014750,ENSXMAG00000000302,ENSXMAG00000014169	rad51,mcm3,prim2,POLQ,mcm10,cdc45,mcm2,cdc6
GO:0006270	0.0368010017065195	3.8646408839779	2.05982421321236	5	10	DNA replication initiation	ENSXMAG00000007764,ENSXMAG00000008619,ENSXMAG00000014750,ENSXMAG00000000302,ENSXMAG00000014169	mcm3,mcm10,cdc45,mcm2,cdc6
GO:0006469	0.0087252524284668	Inf	0.617947263963709	3	3	negative regulation of protein kinase activity	ENSXMAG00000015044,ENSXMAG00000001245,ENSXMAG00000017367	camk2n1a,pkig,aida
GO:0006836	0.0433590539499205	2.70656984785616	3.50170116246102	7	17	neurotransmitter transport	ENSXMAG00000009153,ENSXMAG00000015071,ENSXMAG00000006957,ENSXMAG00000018230,ENSXMAG00000018926,ENSXMAG00000017725,ENSXMAG00000020102	slc6a6b,syn1,sv2ca,CPLX1,SV2C,syn2a,slc18a3a
GO:0006857	0.029518106854155	11.5862068965517	0.823929685284945	3	4	oligopeptide transport	ENSXMAG00000000861,ENSXMAG00000013781,ENSXMAG00000010624	slc15a2,slc15a1b,SLC15A1
GO:0006862	0.0087252524284668	Inf	0.617947263963709	3	3	nucleotide transport	ENSXMAG00000012911,ENSXMAG00000004016,ENSXMAG00000017004	slc25a4,slc25a32b,slc33a1
GO:0006941	0.0368143397054488	5.15113871635611	1.44187694924865	4	7	striated muscle contraction	ENSXMAG00000003376,ENSXMAG00000009982,ENSXMAG00000010710,ENSXMAG00000009000	tpm4a,pkd2,bin1b,adra1bb
GO:0006986	0.0368010017065195	3.8646408839779	2.05982421321236	5	10	response to unfolded protein	ENSXMAG00000002036,ENSXMAG00000013231,ENSXMAG00000004439,ENSXMAG00000000504,ENSXMAG00000012953	os9,atf6,WFS1,CREBRF,EDEM3
GO:0007154	6.31611081880772e-05	1.31517371013741	297.232633966544	351	1443	cell communication	ENSXMAG00000000203,ENSXMAG00000000220,ENSXMAG00000000291,ENSXMAG00000000470,ENSXMAG00000000919,ENSXMAG00000001095,ENSXMAG00000001157,ENSXMAG00000001681,ENSXMAG00000001711,ENSXMAG00000001857,ENSXMAG00000001901,ENSXMAG00000001997,ENSXMAG00000002036,ENSXMAG00000002212,ENSXMAG00000002372,ENSXMAG00000002575,ENSXMAG00000002640,ENSXMAG00000002715,ENSXMAG00000003277,ENSXMAG00000003465,ENSXMAG00000004055,ENSXMAG00000004457,ENSXMAG00000004531,ENSXMAG00000004629,ENSXMAG00000004706,ENSXMAG00000004783,ENSXMAG00000004835,ENSXMAG00000004905,ENSXMAG00000005131,ENSXMAG00000005165,ENSXMAG00000005217,ENSXMAG00000005438,ENSXMAG00000005440,ENSXMAG00000005624,ENSXMAG00000005676,ENSXMAG00000006278,ENSXMAG00000006344,ENSXMAG00000006488,ENSXMAG00000006746,ENSXMAG00000006750,ENSXMAG00000007043,ENSXMAG00000007512,ENSXMAG00000007980,ENSXMAG00000008122,ENSXMAG00000008165,ENSXMAG00000008513,ENSXMAG00000008554,ENSXMAG00000008588,ENSXMAG00000008649,ENSXMAG00000008839,ENSXMAG00000009034,ENSXMAG00000009205,ENSXMAG00000009592,ENSXMAG00000009618,ENSXMAG00000009787,ENSXMAG00000009982,ENSXMAG00000009998,ENSXMAG00000010044,ENSXMAG00000010192,ENSXMAG00000010248,ENSXMAG00000010254,ENSXMAG00000010463,ENSXMAG00000010490,ENSXMAG00000010611,ENSXMAG00000010749,ENSXMAG00000011004,ENSXMAG00000011005,ENSXMAG00000011072,ENSXMAG00000011178,ENSXMAG00000011257,ENSXMAG00000011333,ENSXMAG00000011804,ENSXMAG00000011851,ENSXMAG00000011966,ENSXMAG00000012040,ENSXMAG00000012134,ENSXMAG00000012475,ENSXMAG00000012551,ENSXMAG00000012781,ENSXMAG00000012969,ENSXMAG00000013070,ENSXMAG00000013193,ENSXMAG00000013231,ENSXMAG00000013494,ENSXMAG00000013549,ENSXMAG00000014010,ENSXMAG00000014094,ENSXMAG00000014365,ENSXMAG00000014404,ENSXMAG00000014818,ENSXMAG00000014880,ENSXMAG00000015071,ENSXMAG00000015476,ENSXMAG00000015628,ENSXMAG00000015733,ENSXMAG00000016288,ENSXMAG00000016317,ENSXMAG00000016318,ENSXMAG00000016482,ENSXMAG00000016530,ENSXMAG00000016747,ENSXMAG00000017176,ENSXMAG00000017299,ENSXMAG00000017524,ENSXMAG00000017534,ENSXMAG00000017731,ENSXMAG00000017877,ENSXMAG00000017923,ENSXMAG00000018099,ENSXMAG00000018333,ENSXMAG00000018426,ENSXMAG00000018758,ENSXMAG00000018934,ENSXMAG00000019115,ENSXMAG00000019210,ENSXMAG00000019535,ENSXMAG00000019630,ENSXMAG00000019716,ENSXMAG00000019997,ENSXMAG00000020196,ENSXMAG00000020275,ENSXMAG00000020317,ENSXMAG00000020331,ENSXMAG00000020390,ENSXMAG00000000055,ENSXMAG00000000198,ENSXMAG00000000436,ENSXMAG00000000566,ENSXMAG00000000791,ENSXMAG00000000843,ENSXMAG00000001114,ENSXMAG00000001149,ENSXMAG00000001355,ENSXMAG00000001522,ENSXMAG00000001540,ENSXMAG00000001544,ENSXMAG00000001722,ENSXMAG00000001788,ENSXMAG00000001898,ENSXMAG00000002106,ENSXMAG00000002253,ENSXMAG00000002271,ENSXMAG00000002377,ENSXMAG00000002400,ENSXMAG00000002536,ENSXMAG00000002567,ENSXMAG00000003618,ENSXMAG00000003628,ENSXMAG00000003726,ENSXMAG00000003970,ENSXMAG00000004034,ENSXMAG00000004079,ENSXMAG00000004087,ENSXMAG00000004214,ENSXMAG00000004336,ENSXMAG00000004388,ENSXMAG00000004673,ENSXMAG00000004882,ENSXMAG00000005187,ENSXMAG00000005305,ENSXMAG00000005668,ENSXMAG00000005838,ENSXMAG00000006011,ENSXMAG00000006136,ENSXMAG00000006331,ENSXMAG00000006437,ENSXMAG00000006533,ENSXMAG00000006838,ENSXMAG00000007067,ENSXMAG00000007213,ENSXMAG00000007385,ENSXMAG00000007536,ENSXMAG00000007567,ENSXMAG00000008057,ENSXMAG00000008163,ENSXMAG00000008306,ENSXMAG00000008481,ENSXMAG00000008560,ENSXMAG00000008568,ENSXMAG00000008573,ENSXMAG00000009000,ENSXMAG00000009128,ENSXMAG00000009513,ENSXMAG00000009518,ENSXMAG00000009602,ENSXMAG00000009979,ENSXMAG00000010017,ENSXMAG00000010772,ENSXMAG00000010940,ENSXMAG00000011092,ENSXMAG00000011280,ENSXMAG00000011304,ENSXMAG00000011891,ENSXMAG00000011919,ENSXMAG00000012206,ENSXMAG00000012381,ENSXMAG00000012925,ENSXMAG00000012966,ENSXMAG00000013366,ENSXMAG00000013527,ENSXMAG00000013566,ENSXMAG00000013675,ENSXMAG00000013762,ENSXMAG00000013825,ENSXMAG00000013888,ENSXMAG00000014274,ENSXMAG00000014275,ENSXMAG00000014457,ENSXMAG00000014597,ENSXMAG00000014788,ENSXMAG00000015278,ENSXMAG00000015423,ENSXMAG00000015848,ENSXMAG00000015959,ENSXMAG00000016121,ENSXMAG00000016162,ENSXMAG00000016744,ENSXMAG00000016932,ENSXMAG00000017066,ENSXMAG00000017124,ENSXMAG00000017644,ENSXMAG00000017689,ENSXMAG00000018053,ENSXMAG00000018457,ENSXMAG00000018595,ENSXMAG00000018788,ENSXMAG00000018922,ENSXMAG00000018941,ENSXMAG00000019178,ENSXMAG00000019181,ENSXMAG00000019533,ENSXMAG00000019827,ENSXMAG00000019863,ENSXMAG00000019945,ENSXMAG00000019951,ENSXMAG00000020055,ENSXMAG00000020170,ENSXMAG00000020230,ENSXMAG00000020263,ENSXMAG00000020278,ENSXMAG00000020283,ENSXMAG00000000208,ENSXMAG00000000292,ENSXMAG00000000495,ENSXMAG00000001735,ENSXMAG00000002154,ENSXMAG00000002364,ENSXMAG00000002444,ENSXMAG00000002916,ENSXMAG00000003393,ENSXMAG00000003532,ENSXMAG00000003785,ENSXMAG00000004048,ENSXMAG00000004259,ENSXMAG00000004422,ENSXMAG00000004660,ENSXMAG00000005656,ENSXMAG00000006957,ENSXMAG00000007513,ENSXMAG00000007558,ENSXMAG00000007717,ENSXMAG00000008345,ENSXMAG00000008492,ENSXMAG00000008865,ENSXMAG00000009326,ENSXMAG00000009344,ENSXMAG00000009380,ENSXMAG00000009963,ENSXMAG00000010136,ENSXMAG00000010263,ENSXMAG00000010456,ENSXMAG00000010465,ENSXMAG00000010903,ENSXMAG00000011009,ENSXMAG00000011122,ENSXMAG00000011534,ENSXMAG00000011728,ENSXMAG00000012309,ENSXMAG00000012330,ENSXMAG00000012791,ENSXMAG00000012850,ENSXMAG00000012956,ENSXMAG00000012971,ENSXMAG00000013325,ENSXMAG00000013327,ENSXMAG00000013367,ENSXMAG00000013421,ENSXMAG00000013441,ENSXMAG00000013581,ENSXMAG00000014506,ENSXMAG00000014713,ENSXMAG00000014734,ENSXMAG00000014802,ENSXMAG00000015109,ENSXMAG00000015501,ENSXMAG00000015901,ENSXMAG00000016163,ENSXMAG00000016845,ENSXMAG00000017004,ENSXMAG00000017204,ENSXMAG00000017330,ENSXMAG00000017367,ENSXMAG00000017758,ENSXMAG00000017879,ENSXMAG00000017893,ENSXMAG00000017974,ENSXMAG00000018090,ENSXMAG00000018109,ENSXMAG00000018440,ENSXMAG00000018904,ENSXMAG00000018926,ENSXMAG00000019310,ENSXMAG00000019412,ENSXMAG00000019488,ENSXMAG00000019722,ENSXMAG00000019815,ENSXMAG00000020215,ENSXMAG00000020223,ENSXMAG00000020329,ENSXMAG00000000193,ENSXMAG00000000385,ENSXMAG00000000593,ENSXMAG00000000680,ENSXMAG00000001523,ENSXMAG00000002353,ENSXMAG00000002618,ENSXMAG00000008393,ENSXMAG00000008714,ENSXMAG00000009489,ENSXMAG00000009523,ENSXMAG00000009676,ENSXMAG00000010158,ENSXMAG00000011129,ENSXMAG00000011526,ENSXMAG00000012524,ENSXMAG00000012949,ENSXMAG00000013188,ENSXMAG00000013312,ENSXMAG00000014265,ENSXMAG00000014629,ENSXMAG00000014838,ENSXMAG00000015247,ENSXMAG00000017676,ENSXMAG00000017725,ENSXMAG00000018058,ENSXMAG00000018901,ENSXMAG00000018947,ENSXMAG00000019501,ENSXMAG00000019570,ENSXMAG00000019725,ENSXMAG00000019798	angptl2b,TYK2,nsg2,ADRB2,gprc5ba,ltb4r2a,vangl2,SH2D3C,GABRG2,adgra2,TCF7L1,si:ch211-251b21.1,os9,jak1,smad6a,wsb2,ldlrad4b,ctnnal1,notch1b,jak2a,fstl1b,pdgfab,pi4kaa,MAPK8IP2,RPS6KB2,RALGAPB,NOMO1,TRAF2,adm2a,stat5a,rps6ka4,TET2,TNPO1,unc5b,htr2b,lats1,ADCYAP1R1,PLCD4,frzb,SIPA1L2,PDE3B,cnksr3,map4k2,PELI3,csrp1a,HOMER3,pdgfrb,csf1ra,itgb3a,CDC42,ARHGAP6,tnfsf10,ednraa,smad1,unc5a,pkd2,bmp3,GPR61,hcrtr2,mapk11,dkk2,sfrp1a,hdr,stat6,gpatch3,itga9,smo,acvrl1,erbb3b,ccn1,MCF2L,SPRED2,chrne,plcg2,gnb2,adgrg1,fgf22,IRS2,ARHGAP44,rgl1,saga,kdrl,atf6,EPHA3,rgl2,git2a,rhof,pdgfra,PLCD3,arhgap36,il17d,syn1,PTK2,GRK6,slc8a1a,SH3RF3,ARHGAP4,nod2,egfra,sema3fa,galr2a,gng5,prickle1a,synj1,ppp1r12a,unc93b1,AXIN2,dgke,tead3b,htra1a,alkal1,ythdf2,nr1d1,SCAP,TIAM2,gpr182,cnr1,ACKR4,s1pr5a,ccr12a,P2RY1,adra2b,cmklr1,fzd7b,ADGRD1,DOCK6,maco1a,tgfbr1b,GRB10,rab33a,rac1b,tgfb1a,gdi1,NR3C1,ITGA4,rtkna,GPR21,TLR5,nrp2b,acvr2aa,ITPR1,rasgef1bb,SMAD3,plvapb,lpar5b,homer3b,MAP3K15,mylipa,rangap1a,TGFB3,fzd6,gja5a,gpr184,PKN2,pparaa,HGF,ephb3a,ADGRL3,net1,GLP2R,gucy1b1,EPHB3,bmp6,esr2a,igfbp3,RHPN1,VIPR2,MYO10,ANK2,DGKH,ephb4b,yap1,ASB2,SYDE1,gja4,epha4a,PLCB4,PPP3CA,FERMT1,zgc:158659,adra1bb,ramp2,vipr1b,gper1,ugdh,BDKRB2,gnai3,tlr21,nupr1b,lhcgr,nr4a2a,ACVR1C,mapk8ip3,agtr2,agrn,notch2,GRIN2C,GPR37L1,SYNGAP1,ARHGAP22,chrnb1,gja10a,prdm5,wnt11,ITGA8,rxrba,met,CYTH3,sav1,F2RL3,tead1a,rgs7bpa,EFNA5,gal,lrp5,NTRK2,adcyap1r1a,thrb,bmpr1ba,ITGA7,chrm2a,GUCY1A2,EVC,pik3r1,fgfr4,f2r2.1,NPY2R,mapk12a,pde6a,nog2,socs5b,paqr7b,s1pr3a,s1pr2,ackr4b,rhoh,lpar6a,C5AR1,P2RY14,GPR34,PDE4A,aspscr1,STC2,rxraa,mapk6,ANK1,pdcb,sesn2,PLXNB3,zwilch,srgap2,ptk2bb,bmpr1aa,rasgrp3,rab40c,gucy1a1,sv2ca,wnt7aa,ARHGAP42,p2rx2,fgf18a,GJC1,ptger1b,plcd1a,ndrg2,axin1,galr1b,fgf10b,pmepa1,WNT8A,grk7b,itgb1a,gnb3a,lzic,GPR158,SPAG9,notum1a,ADGRB1,rln3b,zgc:162895,CASR,MCF2,pcmtl,tlr18,lpar2a,gna15.4,apln,inhbab,tgfb3,rac3b,efna1a,ndr2,dvl2,GRIA2,uts2a,zgc:112334,slc33a1,rassf1,PPARG,aida,mtnr1bb,FNBP1,spaw,GRM4,UNC13C,P2RY2,babam2,nrg2b,SV2C,UNC13A,rhobtb4,adra2da,paqr8,s1pr5b,adra2a,or30bt5,gpr3,nfkb2,FGF11,ITGB8,CALCR,fgf19,thoc1,pyya,or30bu2,PPP2R5B,wnt16,flt4,ITGA2,ppp3cb,gria3a,GPR26,npb,nr4a3,sh3bp5la,rln3a,INPP5B,rgrb,aplnra,grm5a,syn2a,ppp1r12c,tas1r1,DGKB,npy7r,RAB9A,dctpp1,s1pr1
GO:0007155	3.37902165240725e-05	2.00116959064327	35.4289764672526	58	172	cell adhesion	ENSXMAG00000000209,ENSXMAG00000000807,ENSXMAG00000001821,ENSXMAG00000002715,ENSXMAG00000003209,ENSXMAG00000004007,ENSXMAG00000005194,ENSXMAG00000005438,ENSXMAG00000005525,ENSXMAG00000006650,ENSXMAG00000007480,ENSXMAG00000007759,ENSXMAG00000008649,ENSXMAG00000010441,ENSXMAG00000011004,ENSXMAG00000011155,ENSXMAG00000013821,ENSXMAG00000014365,ENSXMAG00000015461,ENSXMAG00000015558,ENSXMAG00000018758,ENSXMAG00000018793,ENSXMAG00000001540,ENSXMAG00000003022,ENSXMAG00000004396,ENSXMAG00000004948,ENSXMAG00000007536,ENSXMAG00000007775,ENSXMAG00000008306,ENSXMAG00000008568,ENSXMAG00000009948,ENSXMAG00000012113,ENSXMAG00000012135,ENSXMAG00000013646,ENSXMAG00000014274,ENSXMAG00000014279,ENSXMAG00000014306,ENSXMAG00000016712,ENSXMAG00000016798,ENSXMAG00000017242,ENSXMAG00000017644,ENSXMAG00000018348,ENSXMAG00000018799,ENSXMAG00000020266,ENSXMAG00000003979,ENSXMAG00000004856,ENSXMAG00000006042,ENSXMAG00000007020,ENSXMAG00000011009,ENSXMAG00000011865,ENSXMAG00000012814,ENSXMAG00000015394,ENSXMAG00000000593,ENSXMAG00000004545,ENSXMAG00000008749,ENSXMAG00000008904,ENSXMAG00000010158,ENSXMAG00000011051	jupa,COL6A6,fn1a,ctnnal1,THBS2,mxra8a,LAMA4,TET2,vcam1b,NID1,MYLK,MYPN,itgb3a,vcla,itga9,CLSTN3,dpp4,pdgfra,parvaa,vclb,ythdf2,fat1a,ITGA4,cdhr1a,runx1,cdh5,yap1,THBS1,epha4a,FERMT1,PCDH7,fat3a,npnta,nlgn2a,ITGA8,cdh12a,dsc2l,pcdh18b,tln2a,ITGA7,FAT4,col28a1b,nrarpa,zgc:113337,col28a2a,jam3b,cdh2,itgb1a,DSCAML1,mxra8b,spon1b,ITGB8,pcdh8,spon2b,vezt,ITGA2,lmo7a
